model,lat,lon,taw,organic_carbon,cec,ph,sand_pct,bulk_density,awc,texture_class,cluster
kmeans,7.323213329356999,80.12518371581,8.566291630268093,2.46465024529706,15.526783427010807,5.5342410405476885,76.10418219016928,1.462981144587199,0.0571086108684539,Loamy sand,0
agglomerative,7.323213329356999,80.12518371581,8.566291630268093,2.46465024529706,15.526783427010807,5.5342410405476885,76.10418219016928,1.462981144587199,0.0571086108684539,Loamy sand,1
gmm,7.323213329356999,80.12518371581,8.566291630268093,2.46465024529706,15.526783427010807,5.5342410405476885,76.10418219016928,1.462981144587199,0.0571086108684539,Loamy sand,0
kmeans,7.323213329356999,80.13461151122,8.6715780198574,2.4567535710501023,15.524114837463769,5.534714539845784,75.9872373854705,1.4613837401072185,0.0578105201323826,Loamy sand,0
agglomerative,7.323213329356999,80.13461151122,8.6715780198574,2.4567535710501023,15.524114837463769,5.534714539845784,75.9872373854705,1.4613837401072185,0.0578105201323826,Loamy sand,1
gmm,7.323213329356999,80.13461151122,8.6715780198574,2.4567535710501023,15.524114837463769,5.534714539845784,75.9872373854705,1.4613837401072185,0.0578105201323826,Loamy sand,0
kmeans,7.313785533947,80.00262237548,6.898956000804897,2.782103977895676,15.438254010234454,5.505143642425537,79.27746000807248,1.5328600804011028,0.0459930400053659,Loamy sand,2
agglomerative,7.313785533947,80.00262237548,6.898956000804897,2.782103977895676,15.438254010234454,5.505143642425537,79.27746000807248,1.5328600804011028,0.0459930400053659,Loamy sand,3
gmm,7.313785533947,80.00262237548,6.898956000804897,2.782103977895676,15.438254010234454,5.505143642425537,79.27746000807248,1.5328600804011028,0.0459930400053659,Loamy sand,2
kmeans,7.313785533947,80.01205017088999,6.963050365447995,2.777778968561843,15.43638228109693,5.502147674560547,79.0063145657731,1.5325510899225872,0.0464203357696533,Loamy sand,2
agglomerative,7.313785533947,80.01205017088999,6.963050365447995,2.777778968561843,15.43638228109693,5.502147674560547,79.0063145657731,1.5325510899225872,0.0464203357696533,Loamy sand,3
gmm,7.313785533947,80.01205017088999,6.963050365447995,2.777778968561843,15.43638228109693,5.502147674560547,79.0063145657731,1.5325510899225872,0.0464203357696533,Loamy sand,2
kmeans,7.313785533947,80.0214779663,7.028305158019069,2.773384454170907,15.434478034530844,5.499533017476399,78.7448654739409,1.532313307126363,0.0468553677201271,Loamy sand,2
agglomerative,7.313785533947,80.0214779663,7.028305158019069,2.773384454170907,15.434478034530844,5.499533017476399,78.7448654739409,1.532313307126363,0.0468553677201271,Loamy sand,3
gmm,7.313785533947,80.0214779663,7.028305158019069,2.773384454170907,15.434478034530844,5.499533017476399,78.7448654739409,1.532313307126363,0.0468553677201271,Loamy sand,2
kmeans,7.313785533947,80.10632812499,8.606693148612974,2.5490458565012224,15.14936972015322,5.418168544769287,75.71790973834965,1.463215986887614,0.0573779543240864,Loamy sand,0
agglomerative,7.313785533947,80.10632812499,8.606693148612974,2.5490458565012224,15.14936972015322,5.418168544769287,75.71790973834965,1.463215986887614,0.0573779543240864,Loamy sand,1
gmm,7.313785533947,80.10632812499,8.606693148612974,2.5490458565012224,15.14936972015322,5.418168544769287,75.71790973834965,1.463215986887614,0.0573779543240864,Loamy sand,0
kmeans,7.313785533947,80.11575592039999,8.7194174528122,2.5415587974840426,15.534172353967673,5.525389194488525,75.57572909197363,1.4617148240407307,0.0581294496854146,Loamy sand,0
agglomerative,7.313785533947,80.11575592039999,8.7194174528122,2.5415587974840426,15.534172353967673,5.525389194488525,75.57572909197363,1.4617148240407307,0.0581294496854146,Loamy sand,1
gmm,7.313785533947,80.11575592039999,8.7194174528122,2.5415587974840426,15.534172353967673,5.525389194488525,75.57572909197363,1.4617148240407307,0.0581294496854146,Loamy sand,0
kmeans,7.313785533947,80.12518371581,8.833143860101695,2.534070860829184,15.53136693617352,5.525880177815755,75.44575825338438,1.4602309068044026,0.0588876257340112,Loamy sand,0
agglomerative,7.313785533947,80.12518371581,8.833143860101695,2.534070860829184,15.53136693617352,5.525880177815755,75.44575825338438,1.4602309068044026,0.0588876257340112,Loamy sand,1
gmm,7.313785533947,80.12518371581,8.833143860101695,2.534070860829184,15.53136693617352,5.525880177815755,75.44575825338438,1.4602309068044026,0.0588876257340112,Loamy sand,0
